Key,Probability
0x9a8bbbbc649765eb,0.00219727
0xea8c80924282499b,0
0x24bdf0b38da5e1b4,0
0xa4190f094b41f84f,0.00170898
0xf840cad976dae73b,0.00170898
0x81a19fadfd5661b8,0.00170898
0x1aa2fceb3b8ed363,0.00213623
0xdb5075054113c4e3,0.00213623
0x48bc80692dc8ed0b,0
0x74d96722c8d41c93,0.00201416
0xbed397260cfa64c6,0
0xf78ac6be9542867b,0.0020752
0x15f44c4b1f8abefc,0.00231934
0xc9e49438590ae8d5,0
0xc18224838ac699ac,0
0x54c4fc96b93265b7,0.0020752
0x6c66546a93770f69,0
0x1c828630e6ac8ca7,0
0xe590e06831c911e3,0
0x2174a6c7d5d2973,0
0xa7ff61ee8513f815,0.0022583
0xdc28846484d917a2,0
0x898f3b55259c90e9,0
0xef456b53559e97d9,0
0xc966df3797045779,0
0x2cbf42f81d57ebbe,0
0xf0ed9e7e2be15dc7,0
0x10260d1777d0d614,0.00158691
0x31e38013d626851a,0
0xff8512476ac7477d,0
0x512fc3c8edd45a1e,0.00140381
0xd8e70a67d76c92cd,0.00238037
0x74ce5cfb712826f4,0.00177002
0xedce47277ef83e69,0.00158691
0xd8d423ebd63c421f,0.00164795
0x4a6773336f7fd47c,0.00231934
0x24a2bb25681da78a,0.00213623
0xbdaba2db9db8793b,0.00189209
0x8f39ef3ccfb83613,0
0xa1a51de2906d1292,0
0x1ac912acac58a570,0
0xd3693f99110adbda,0
0x72942dd05a69f656,0.00189209
0x919997ee3563081b,0
0xdda05236fc1d72fb,0
0xef58e6583d791077,0.00183105
0x88b69b4645d39a2d,0.00189209
0xe863f121e3b61a9d,0.00164795
0x187833db776c34fd,0.00201416
0x3be294219bc5f5a7,0
0x3b6476d3b535bd9f,0.00195312
0xa6cecf480ebeedfa,0.00158691
0xb97fb0284d9ba042,0
0xb74a75648f3b6d27,0.00177002
0xf423e2d7c17a3be0,0
0x861958e2a40ce16a,0.00152588
0xc5ce4f30ad430f00,0
0x18b168c5fec6d1a6,0
0x727ac30ac92fda4e,0.00213623
0xfc2651129ca96bd,0
0x47b402b84d4d78b8,0
0xfb8ba355f4b98048,0.00189209
0xee199a3a6e38ef1c,0.00201416
0x66095bf1776bb2e6,0
0xea50c63d25ae8d2a,0.00201416
0x303742cbc41eea6f,0.00109863
0xda689b131e0794e3,0
0x6eb52df2be5d4b0,0
0x4a24cef01e468bb2,0.00189209
0x362726af2eb571ce,0
0x2e6d5b00d8a6585,0.00201416
0xf5865bd31aa0af82,0.00195312
0x24ab6117c03aff44,0.00195312
0x4f22e8d3067e6316,0.00134277
0x1ece65d6faa8e408,0.00164795
0xd68826ee27b49f81,0
0x4a1d70ba4d7ac612,0.00152588
0x86614af922caf5e7,0.00201416
0x18ca5d00e4f43a72,0.00213623
0x9797a46217e73f21,0
0xd6dda806e9cd86dd,0.00219727
0x6f63b32aebf0c577,0
0xcbdf253bf6b9cce0,0
0x109d24c64a7f9f,0.00152588
0x2f17c5b77bb6d445,0.0022583
0xbcd25ca763d1a04b,0.00183105
0xf173c7c8cbded13f,0.0012207
0xeffba89d0c4f817d,0
0x30eefc5a7da75199,0.00201416
0xb25757141071e332,0
0x66fbdfa241864af5,0.00164795
0xec869168fc1e58e3,0.00140381
0x950a9f156fe58531,0
0x465fd8b2eb005c68,0.00219727
0x862da7ea29511dd3,0.0012207
0xbbcc3a471e5653bd,0.00177002
0x30f049fa51a1a58a,0
0x9d46d92ba3bfc689,0.00158691
0xd8705fd9d9bbbc9d,0.00158691
0xd82a2aabdfef7fd7,0
0x7d6a6f4bd421f87f,0.0020752
0x49a6875a548ca413,0.00262451
0xdd529b2c8aad3d1d,0.00158691
0xff73e914988b5ce0,0
0x9a35f5a9a92a16c7,0.00292969
0x3bbb66a1119c17ae,0.00195312
0xeb417e18785e8719,0.00231934
0x10937fd9cabfe1b2,0
0x5bf9c125c56ec2ee,0.00189209
0xdbc07a13eee2067d,0.00286865
0x6a44817d6a5b0b61,0.00213623
0x78d78ccff921b43d,0.00164795
0x984c9991a9e3a989,0.0020752
0xa72c551ea2ee6d61,0.0020752
0xe01582bcc7dc2ba,0
0xae8f4c2487d14d40,0.0010376
0x3f108b65cd0bdc48,0
0xaf6682d11863f51c,0.00158691
0xaef5997218e22e4a,0
0x1af1a93c5b9f88c,0
0xaab4d49d36abbb05,0
0xb407bb8e184d46,0
0x3ab2ced67b01a71e,0.00177002
0xcce6144637e6edd6,0.00213623
0xfc20e25bb4e4a9b7,0.0020752
0x27248b1d8e4d61e3,0
0x319f820e406c1f48,0
0x8c04f67f2bd7c4c3,0
0x86a96e6a1cc19dbb,0
0xb465744d352ad83,0.0020752
0x249faa5930ee3336,0.00250244
0x424585989534acd9,0.00238037
0x7d063d61cb3bc0f,0.00195312
0xf78bff9e4929e125,0.00177002
0xb16192e2e288a2cc,0
0xe5b019cae38c988e,0.00219727
0xc657d9b0b00ed2b3,0
0x7f74be580dbb8b5f,0.00201416
0x55c11cae20485f43,0.00152588
0x9dec8e032bfca7ff,0
0x5c2e5a6ca75efecc,0.00158691
0xbe289d1b2c41fd2c,0.00231934
0xe589a79597b0ce28,0.00152588
0x6bb3320f148da4b,0
0xad00e8c547dd6ad3,0
0x215c5e73366ff9c3,0.00238037
0xc26861c314a67a02,0.00177002
0x3033def362a50823,0
0x6d3c273d18c416b3,0
0x599482a8ae5ee467,0.00177002
0x6df12a2cc5613610,0.00256348
0x95fb548370b76d4a,0
0xb641f1328207ba88,0.00213623
0x8b0d4017ff22918e,0
0x16a2350587918706,0.00189209
0x4d02551d349caa7a,0.00183105
0xa03e80e9c39e2468,0
0x3e6d506ff09c9d84,0
0x5513ae9cbdf7d5ec,0
0x2f03f0f258e5b1d4,0.00170898
0x22b5bc30a08e3d51,0.00219727
0x443476aed5849e5d,0
0x1daef4380bf8099,0
0xa186a6d0663a6bb5,0.00128174
0x951456d2d5d4f14f,0.00231934
0x39a1cf43a76ebe4d,0
0xc87b9b68bcb277f7,0.00183105
0xd149ea200b4f5d44,0.00189209
0xab87abe64d5a3742,0.00213623
0xb15b6ebd20c3132,0.00164795
0x3c283d0178ee7f3d,0
0x5cde3fa5f752f32,0
0x7431a31d69dd54,0.00231934
0xb0f4c021a1c7a610,0
0x97156e723dfd2592,0
0x1636a783dc820c1a,0
0x72ef37f4b00425a4,0.00195312
0x987abe4019eb128a,0.00238037
0x67f8a4f62fcdf103,0.00195312
0xf9ced2083ba4f32a,0
0xbb6f32aa8d4d452c,0
0xa09fd5077f2148ee,0.00219727
0x591d597cfd1b658f,0
0x713f3b76a134b5ed,0.00189209
0x5132a89e65a7ad9a,0.00195312
0xbffa8a134cfbf437,0
0xb72972651d83a42,0.00201416
0x969869a311916b3e,0.00201416
0x69f5ebeb4b9d03fc,0.00195312
0xa37d5a8e4f2c7ae8,0
0xdbca9182616efff6,0
0xcf1d359b06119f4c,0
0xb98b1b6a3bf864d2,0
0xb3531c830fb32cd9,0.00201416
0xa79eef43ef0a131b,0
0x75db979c26f85555,0.00189209
0x23700d2b138a0d7e,0
0x363b06f8197a1949,0
0x10eb921c4081b4f3,0
0xaa4a9ea8d0c413d3,0.00183105
0x95aecf07a75ee562,0.00109863
0x9bf520abd7df2f8e,0.00219727
0x73a8eec5e1aff60b,0.00177002
0x608e0e3644a52778,0
0x4c4f3cff812b9fa9,0.0022583
0x8a981704afb5923d,0
0xdf69fb11a1dda74b,0.00231934
0xb2ba11aa104d7886,0.00219727
0xa9e02fcb8bf58406,0.00213623
0x88dbfc5ac844a2c0,0.00201416
0x3d4578f8f203e722,0.0020752
0x49a735acd3c3ac51,0.00189209
0xb4bf43dd38fe7c5c,0
0xa39d36b6781b4b30,0.00213623
0xf8a166c536055d71,0.00195312
0x7912a6428968a2da,0.00146484
0xd7de9cf17ab60279,0
0xca5eca39b6cca79c,0.00219727
0x52200d2a899ffa13,0.00201416
0xc9c46aeeb05f3e07,0.0020752
0x629559f57ae1641c,0
0xc4e7c21d8c04ab46,0.00238037
0x3e5af4f68239c8d5,0.00231934
0x355c391e061eee84,0
0x2d43e345cad831bb,0.00244141
0x936aa5d1a727ea79,0
0x6db40c04b6e17764,0.0020752
0x930b9990dc332935,0
0x1134df63770ad113,0.00140381
0x655fe007bb318e7e,0.00213623
0xe3d399b4eba89b9c,0.00146484
0x8ca50447e4d3ba27,0
0xac8e79f35e1f8b85,0
0x717d828e631a7142,0.00189209
0x9dc6623c99dcf709,0.00231934
0x82dd30c90289751f,0
0x165db47ed53d4c50,0
0xdb6ad7a92a53e5f9,0.00183105
0x83aa24b385c16ed5,0.00189209
0xd9c5b6ec7f98bd6c,0.00189209
0x9d6d82e1dd4a8fbc,0.00158691
0x3e19eaad72024036,0.00201416
0xa2e2ef17711ce4c1,0
0x68f4fafe991d537e,0.00201416
0x63f8b2819d89ed8a,0.0020752
0x28ec6e86e9d768ef,0.00140381
0xeae6c6926b00c90b,0
0x6200f6dcac095e90,0.00201416
0x3f1e4e4525fef050,0.00262451
0xf4b5ba2285696496,0.00231934
0xc32246244f0e28,0.00201416
0x68e730ad65df4da6,0.0020752
0x5166c620b3094078,0.00183105
0x4ffcb4b27b97f532,0.00213623
0x3a9a8e48684edf88,0
0xc1d68d62550e1248,0.00158691
0xdc59138795d26cc7,0.00195312
0xb926a37af7ad3371,0.0022583
0xd5ae763d864dbdab,0.0020752
0x874c9ced788c9463,0.00177002
0x2f6aed816baa4be7,0
0xdaad19179bdfa736,0.00213623
0x137c6b4f8db0dd77,0.00256348
0xead2791eaf561a1,0
0x16ea0038e643a364,0.00170898
0xd451170a4b0e79aa,0.00152588
0xe87e7c017c2ed8f8,0.0020752
0x79092fad1a72fa0d,0
0x28348114832b6ffc,0.00189209
0x8647244bfe05fad8,0.00115967
0x2911698955eea299,0.00183105
0x24a0d0573fe8d2f4,0.00177002
0x473fbbb7db897b69,0.00238037
0xa48fe83b142939ac,0.00213623
0x3721a9d4f2b2ad8c,0
0x97636115ea121bb0,0.00183105
0x482fcdba3b0cf68c,0
0x411dead0d0445fc1,0.00195312
0x46b34d288829dc87,0.0022583
0x2ba2dcf6b396b84b,0
0xbc3e54efdc334d17,0
0x91cb8e3c3e537121,0.00146484
0x832a4aa8ce673363,0.00244141
0x1de24175605e5c07,0.00195312
0x6b8dd7a43ec3c86c,0.00195312
0x1b0f4ea7899b7a5d,0.00201416
0xd9e4cbce020386c4,0.00195312
0x1a61ef910ce2176a,0
0xbd76eebf13b6c128,0
0xf771c534dcbf4cfb,0.00170898
0xfa180e0644cf4076,0.00177002
0xaadee9a5341b3900,0
0x77a2e7d267f619db,0
0x3cf57880bf4863b5,0
0x226ba02ce325cbec,0
0x732724cc27a1ff83,0
0x9944ab0831ab0113,0.00195312
0xc8253144b3c691dc,0.0020752
0xa5b558eac12a6c2,0.00244141
0x3448b24e62f03bac,0.00195312
0x3ba2db04132f7fe5,0.0012207
0x1e43aa7e2a481e05,0.00244141
0x84aec9f729e4392a,0.0020752
0x62334d7e048cd917,0
0x494872443ef8011b,0.00177002
0x9d916070ec40e083,0.00170898
0xe9dc70a2788664f6,0.00219727
0x79fe06ce2d4c7457,0
0x8119bb12653624e0,0.00244141
0xa068d4dfb20713b8,0.00134277
0x1f4e28171ffa63b3,0
0x3510c89a9c722ba2,0.00250244
0x6f1fde97ddd74f16,0
0x944f48726219b4cb,0.00177002
0xeab750684f7a3183,0
0xd3d52c55734bec18,0
0x46dd664c7a4c24,0
0xed7f4b6d675ae88d,0.00177002
0xde06be0782d3b318,0
0xbed3cf6042073fb6,0.00189209
0x4f437321bdfbdc62,0.00170898
0xeab9ad7b0f3f4346,0
0x1213cb6cc2f64190,0.0022583
0x7f04835c3a753ec3,0.00170898
0x38e6908da8014b88,0
0xabaeb09c1efa0f58,0.00189209
0x7e6b790d90dcb30c,0.00152588
0x36d00e8eb249277c,0.00158691
0x6a798a429955006e,0.0020752
0xf063606d70eebca7,0.00213623
0xd9eb99ddf1d23512,0
0x4c378ecc3993ed3d,0.00164795
0x66728b6d3fd2e440,0
0x394b093d5ac2aa8b,0.00177002
0xfc12d3289ecdb058,0
0x788f90dc93e6533f,0.00213623
0x67eb8600967d7d3a,0
0x407164647505b1fd,0.00292969
0x505c80346240f478,0
0x8c830aacf04b120c,0
0xf7f11c287676ebc3,0.00152588
0xfe3d844cfe6f08d4,0
0xdd58ad3854918c74,0.00189209
0x584fd5114a4ae7c2,0
0xc137b5cb1fe7e9f,0.00213623
0x29b8e0e9b9aeb536,0.00183105
0x7b4f19bf36461503,0
0xe974e92fb8d0bde9,0.00170898
0x8a39fe99a790bcf4,0
0x22765a8ffc24aad2,0.00201416
0xb22858968160a7ff,0.00183105
0xc8be691433b7028e,0.00183105
0xfc1dd4260724dfca,0.00201416
0x8639f5993045830f,0.00183105
0xb4ec43b31261e0c1,0
0x898c02af9329e450,0.00152588
0xb5af80dcba4b26b1,0.00170898
0xef4bd15bb5329b56,0.00164795
0xd224b585e3109067,0
0x22239b8993e8027f,0.0022583
0xb43d3606704cf4b8,0.0020752
0x64e4f3bd0eb9c79c,0.00213623
0xf04fa958f70e92f,0.00164795
0x310f9bbf7d8f5229,0.0010376
0x3bd0ef0a827094fc,0.00183105
